station,year_month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_cat
Aotizhongxin,2013-03-01,110.09274193548387,144.62298387096774,44.94506774193548,74.81740873655914,1477.730510752688,68.16384354838709,147.80229934715823,Lightly Polluted
Aotizhongxin,2013-04-01,62.75138888888889,108.20416666666667,24.796645555555553,53.50137361111111,910.0125,81.85435666666667,98.30425507936508,Good
Aotizhongxin,2013-05-01,85.39448924731182,140.77822580645162,30.442204301075268,61.016129032258064,944.5282258064516,141.85707688172045,127.69854105867707,Lightly Polluted
Aotizhongxin,2013-06-01,106.20347222222222,128.71666666666667,14.627276111111112,72.7983223611111,1295.1645833333334,139.31790187500002,155.44919230385727,Moderately Polluted
Aotizhongxin,2013-07-01,68.91129032258064,85.27150537634408,9.285232258064516,55.10538172043011,820.551747311828,140.83643225806452,117.24246387565415,Lightly Polluted
Aotizhongxin,2013-08-01,62.2896505376344,84.45564516129032,6.918245698924731,56.34550282258064,776.9489247311828,148.54941048387096,114.57456848846438,Lightly Polluted
Aotizhongxin,2013-09-01,79.32708333333333,104.82222222222222,13.816618888888888,64.15768152777778,1064.4388888888889,88.274145,113.745042204735,Lightly Polluted
Aotizhongxin,2013-10-01,95.28225806451613,120.08602150537634,22.425481720430106,73.61059637096774,1099.3951612903227,46.99143709677419,131.53940807411675,Lightly Polluted
Aotizhongxin,2013-11-01,77.28263888888888,105.63333333333334,25.961111111111112,59.95138888888889,1459.1666666666667,34.531533025193795,108.84890873015873,Lightly Polluted
Aotizhongxin,2013-12-01,76.72177419354838,106.6760752688172,42.28986559139785,62.154011223118275,1793.6155913978494,29.758501612903228,109.85938146841397,Lightly Polluted
Aotizhongxin,2014-01-01,95.37903225806451,125.41868279569891,58.357526881720425,66.71975806451613,1863.3064516129032,30.41733870967742,129.04928475422426,Lightly Polluted
Aotizhongxin,2014-02-01,149.55580357142858,156.28720238095238,57.367559523809526,67.56547619047619,2140.848214285714,34.97633928571428,188.7005474064626,Moderately Polluted
Aotizhongxin,2014-03-01,98.93817204301074,146.84005376344084,36.61693548387097,68.69220430107528,1386.4247311827955,74.86088709677419,138.75059523809523,Lightly Polluted
Aotizhongxin,2014-04-01,102.76597222222222,168.06319444444443,19.891666666666666,67.38055555555556,888.3333333333334,113.71666666666667,145.2950873778999,Lightly Polluted
Aotizhongxin,2014-05-01,71.40201612903226,134.25416666666666,15.475403225806451,56.23185483870968,801.0752688172042,143.29435483870967,112.7111225244591,Lightly Polluted
Aotizhongxin,2014-06-01,60.009722222222216,61.327777777777776,6.297222222222222,51.29305555555555,698.9583333333334,163.16458333333333,113.8263181909898,Lightly Polluted
Aotizhongxin,2014-07-01,93.21505376344085,93.21505376344085,4.495295698924731,48.71706989247311,801.4784946236558,159.98790322580646,142.3483491972762,Lightly Polluted
Aotizhongxin,2014-08-01,68.12970430107528,83.50551075268818,4.037096774193548,54.89677419354839,719.758064516129,158.54153225806454,116.3194340770629,Lightly Polluted
Aotizhongxin,2014-09-01,69.97680555555556,102.71430555555555,5.545833333333333,64.63763888888889,910.5555555555555,90.08044871794871,104.8508974811676,Lightly Polluted
Aotizhongxin,2014-10-01,130.43548387096774,164.88306451612902,10.828629032258064,88.70631720430109,1304.7043010752689,48.4247311827957,172.99859621015744,Moderately Polluted
Aotizhongxin,2014-11-01,93.80291666666668,132.3525,17.151666666666664,78.9011111111111,1596.6666666666667,30.510416666666668,131.41854662698412,Lightly Polluted
Aotizhongxin,2014-12-01,48.1021505376344,101.01881720430107,24.392473118279568,44.961021505376344,1199.7983870967741,34.539994373593395,82.69944956477215,Good
Aotizhongxin,2015-01-01,91.04986559139785,114.62916666666666,37.94690860215054,69.08387096774193,2046.9086021505375,35.60282258064516,123.88636232718895,Lightly Polluted
Aotizhongxin,2015-02-01,85.18824404761904,123.13169642857143,30.427083333333332,56.623511904761905,1506.3988095238094,73.49330357142857,123.0646529066172,Lightly Polluted
Aotizhongxin,2015-03-01,87.53803763440861,155.76505376344085,22.835819892473115,61.18931451612904,1249.7983870967741,94.38709677419355,130.4856710829493,Lightly Polluted
Aotizhongxin,2015-04-01,77.26805555555555,135.23819444444445,9.659583333333332,54.64347222222222,816.7361111111111,129.05208333333334,116.34396396805597,Lightly Polluted
