year_month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_cat,year,month
2013-03-01,104.57190860215054,130.2498319892473,38.53026998207885,67.2245009296595,1449.9165546594984,77.07720657443456,141.95570973345497,Lightly Polluted,2013,3
2013-04-01,62.20729166666667,95.93151041666667,20.686865842151676,46.141376633963176,893.4425562553832,100.01884693181819,97.9226574050026,Good,2013,4
2013-05-01,81.87651209677419,134.40846214157705,26.37684125490698,50.16195648326144,999.6388680503459,153.15814287572678,125.41634144197252,Lightly Polluted,2013,5
2013-06-01,101.54224232456141,115.85954556530214,13.607298780864198,48.10779691229424,1336.5735068072024,141.62147105113635,149.4879446719298,Lightly Polluted,2013,6
2013-07-01,66.83966468590832,76.42411809092624,7.273532110588411,38.68656781225109,983.4478059876465,148.721973916252,118.87588852094925,Lightly Polluted,2013,7
2013-08-01,60.588373655913976,77.4613015232975,6.9038135136648755,39.014629043458775,885.5949696828028,160.99783732078853,117.96414137272312,Lightly Polluted,2013,8
2013-09-01,76.14030408249158,96.40286195286195,10.196775411522633,51.57429159850823,1156.336891363346,102.5231536035628,112.73967379943281,Lightly Polluted,2013,9
2013-10-01,91.76531952590419,112.67504174812643,15.604847944046197,63.28931687263541,1225.272486404647,56.98056600366945,125.43587590585797,Lightly Polluted,2013,10
2013-11-01,73.82100694444445,96.24467592592593,21.838826296296297,55.82414111111111,1422.6216526631456,41.112915770565394,104.25767394014,Lightly Polluted,2013,11
2013-12-01,78.1598902329749,96.06698028673834,38.52788297491039,60.240006182795696,1699.8318683905043,37.88019571616114,109.18071753085407,Lightly Polluted,2013,12
2014-01-01,98.3900649641577,123.64510528673834,53.39191308243728,65.58671200905803,1964.3425179211467,36.98768944065473,133.03842011001484,Lightly Polluted,2014,1
2014-02-01,153.80877976190476,156.6819816468254,57.92094494047619,71.99737539473337,2195.8829365079364,43.65933647838568,195.72296052456636,Moderately Polluted,2014,2
2014-03-01,95.22743055555554,136.20564516129033,34.750112007168454,63.46460573476702,1394.0020161290322,84.65624626642771,134.08319001568643,Lightly Polluted,2014,3
2014-04-01,91.8252314814815,144.12430555555557,17.128935185185185,57.278819444444444,924.2476851851852,130.20735722610723,132.98728866648887,Lightly Polluted,2014,4
2014-05-01,62.17731499535506,116.99372101245815,15.162549472063866,47.37430265277498,835.2808065209404,150.32582837642036,110.8886736284956,Lightly Polluted,2014,5
2014-06-01,54.43557080109607,74.03731004638584,6.281222027015486,39.30593471250289,798.6357591876209,173.2082604976596,119.22073397543949,Lightly Polluted,2014,6
2014-07-01,89.14814068100358,109.78406698028672,6.5418458781362006,37.86792114695341,932.0396505376344,175.7391066714544,146.55910022579508,Lightly Polluted,2014,7
2014-08-01,63.1576164874552,85.4546146953405,5.377576164874552,41.77204301075268,842.5907258064516,174.51722839958728,124.56134012683663,Lightly Polluted,2014,8
2014-09-01,66.25087962962962,90.31604166666668,6.684780092592593,48.57925925925926,990.0752314814814,108.97349764220455,103.21749103360551,Lightly Polluted,2014,9
2014-10-01,119.37572804659499,146.50554435483872,8.910338261648747,70.26579301075269,1331.0931899641575,56.3040061582488,158.19576363421447,Moderately Polluted,2014,10
2014-11-01,87.27999421296296,125.51697916666667,16.44337962962963,65.69707175925926,1569.1493055555557,38.753993055555554,121.67321655919311,Lightly Polluted,2014,11
2014-12-01,58.22188993428912,95.3716976553166,28.177658303464757,52.72501680107527,1539.766278375149,43.079615613228704,90.40471303496757,Good,2014,12
2015-01-01,96.12271132019114,113.7195377837515,34.25855921445639,66.02249103942651,1901.7715800477897,41.06224798387097,129.24758771228025,Lightly Polluted,2015,1
2015-02-01,93.0781994047619,120.78349454365079,26.663715277777776,51.13303571428572,1454.7929067460316,61.786644345238095,130.31404039598794,Lightly Polluted,2015,2
2015-03-01,86.38412298387097,146.01625224014336,20.7919186827957,53.90588792509679,1186.111111111111,88.21690188172043,128.54652078749987,Lightly Polluted,2015,3
2015-04-01,71.83956018518518,115.07843171296295,9.285347222222223,45.63505585702961,755.619212962963,125.96686921296296,109.49524568025228,Lightly Polluted,2015,4
2015-05-01,55.72750336021505,95.61705869175627,8.722278225806452,37.2601814516129,721.3037634408602,156.32129349611708,107.1615102236063,Lightly Polluted,2015,5
2015-06-01,60.66841435185185,80.5243287037037,6.707060185185185,34.796469907407406,1051.712962962963,161.59411456996378,115.18612259849104,Lightly Polluted,2015,6
2015-07-01,60.95150089605735,75.41244399641576,4.794186827956989,34.46774193548387,814.2417114695342,176.6549619175627,122.92700466588484,Lightly Polluted,2015,7
2015-08-01,44.30370743727599,64.86245519713262,3.594590053763441,29.843974014336915,780.0067204301075,162.20614919354838,106.40674902494342,Lightly Polluted,2015,8
2015-09-01,48.75821759259259,63.24774305555555,4.894155092592593,40.57442129629629,809.8263888888889,112.70127314814816,83.76842021659289,Good,2015,9
2015-10-01,70.13272849462365,89.31714829749103,5.854222670250897,52.04267473118279,944.6908602150538,76.41658566148233,103.12014123034129,Lightly Polluted,2015,10
2015-11-01,114.75746527777778,120.25162037037036,11.772222222222222,59.61510416666667,1935.7957175925926,25.492542277410703,148.01643580522486,Lightly Polluted,2015,11
2015-12-01,149.6017585125448,159.54161066308242,19.31423611111111,74.3589829749104,2789.832549283154,27.55142995818399,179.08466808542414,Moderately Polluted,2015,12
