station,date,PM2.5,PM10,SO2,NO2,CO,TEMP,PRES,DEWP,RAIN,WSPM,wd,O3,year,month,day,AQI,AQI_parameter
Aotizhongxin,2013-03-01,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,N,74.5,2013,3,1,37.25,O3
Aotizhongxin,2013-03-02,30.75,42.083333333333336,36.625,66.66666666666667,824.9166666666666,0.6166666666666667,1026.8500000000001,-15.9375,0.0,1.4791666666666667,NE,52.625,2013,3,2,83.33333333333334,NO2
Aotizhongxin,2013-03-03,76.91666666666667,120.54166666666667,61.291666666666664,81.0,1620.625,5.566666666666666,1014.6083333333332,-12.316666666666668,0.0,1.6583333333333332,NNE,50.625,2013,3,3,102.39583333333334,PM2.5
Aotizhongxin,2013-03-04,22.708333333333332,44.583333333333336,22.854166666666668,46.1875,606.25,9.9625,1017.65,-11.683333333333332,0.0,2.4041666666666663,N,77.25,2013,3,4,57.734375,NO2
Aotizhongxin,2013-03-05,148.875,183.79166666666666,93.875,132.83333333333334,2357.9583333333335,6.291666666666667,1010.9,-7.5249999999999995,0.0,1.1291666666666667,NE,84.0,2013,3,5,198.39285714285714,PM2.5
Aotizhongxin,2013-03-06,223.25,265.1666666666667,116.2367,142.05938333333333,3085.0833333333335,7.183333333333334,1007.4833333333332,-4.216666666666667,0.0,1.4833333333333334,NE,40.5,2013,3,6,273.25,PM2.5
Aotizhongxin,2013-03-07,263.375,316.0833333333333,97.54166666666667,147.75,3632.875,9.2875,1002.3208333333333,-2.0333333333333337,0.0,1.5583333333333333,NNE,74.25,2013,3,7,316.05,PM2.5
Aotizhongxin,2013-03-08,221.45833333333334,297.9583333333333,69.0604,120.0927875,2689.2083333333335,9.612499999999999,999.475,-1.1500000000000001,0.0,1.6375,ESE,84.0,2013,3,8,271.45833333333337,PM2.5
Aotizhongxin,2013-03-09,62.041666666666664,227.60416666666666,33.333333333333336,45.0,1178.9583333333333,6.983333333333333,1004.3916666666668,-10.1625,0.0,3.391666666666667,N,81.5,2013,3,9,138.80208333333331,PM10
Aotizhongxin,2013-03-10,34.291666666666664,68.91666666666667,22.916666666666668,49.666666666666664,708.3333333333334,5.2625,1020.4916666666667,-12.85,0.0,2.441666666666667,SSW,84.0,2013,3,10,62.08333333333333,NO2
Aotizhongxin,2013-03-11,123.79166666666667,178.29166666666666,86.875,90.66666666666667,1670.75,5.5375000000000005,1013.6625,-6.620833333333334,0.0,1.5666666666666667,SSW,84.0,2013,3,11,162.55952380952382,PM2.5
Aotizhongxin,2013-03-12,122.79166666666667,117.16666666666667,27.5,72.875,1635.2916666666667,4.6000000000000005,1008.8083333333334,1.3499999999999999,0.12083333333333333,1.0833333333333333,N,54.125,2013,3,12,161.13095238095238,PM2.5
Aotizhongxin,2013-03-13,16.041666666666668,19.333333333333332,16.25,36.083333333333336,504.1666666666667,4.929166666666666,1022.475,-10.049999999999999,0.0,2.3291666666666666,NNE,77.0,2013,3,13,45.10416666666667,NO2
Aotizhongxin,2013-03-14,95.16666666666667,107.29166666666667,51.916666666666664,70.375,1337.2916666666667,3.8166666666666664,1021.4,-3.5875,0.0,1.9541666666666666,SSW,77.0,2013,3,14,125.20833333333334,PM2.5
Aotizhongxin,2013-03-15,212.29166666666666,250.625,75.58333333333333,99.41666666666667,2116.5,6.3999999999999995,1014.5,-1.0666666666666667,0.0,1.4208333333333334,NE,52.0,2013,3,15,262.29166666666663,PM2.5
Aotizhongxin,2013-03-16,244.875,257.9166666666667,70.125,90.375,2174.6875,9.529166666666667,1016.8541666666666,0.8833333333333333,0.0,1.6958333333333335,S,94.0,2013,3,16,294.875,PM2.5
Aotizhongxin,2013-03-17,284.5416666666667,309.6666666666667,73.66666666666667,113.875,2558.0,10.008333333333333,1001.9375,3.1458333333333335,0.0,1.1458333333333333,WSW,100.625,2013,3,17,341.45000000000005,PM2.5
Aotizhongxin,2013-03-18,70.66666666666667,118.04166666666667,19.625,46.166666666666664,866.5833333333334,8.383333333333333,1001.2208333333333,-9.404166666666667,0.004166666666666667,3.6374999999999997,S,107.0,2013,3,18,94.58333333333334,PM2.5
Aotizhongxin,2013-03-19,41.0,49.125,16.5,49.166666666666664,785.4166666666666,2.066666666666667,1008.8916666666668,-1.3291666666666666,0.375,1.9166666666666667,NE,46.875,2013,3,19,61.45833333333333,NO2
Aotizhongxin,2013-03-20,48.916666666666664,47.791666666666664,12.5,41.541666666666664,920.8333333333334,1.5208333333333333,1017.1208333333334,-2.8208333333333333,0.3125,2.058333333333333,SW,58.375,2013,3,20,67.39583333333333,PM2.5
Aotizhongxin,2013-03-21,148.95833333333334,161.75,21.666666666666668,85.75,1454.0416666666667,3.5875,1004.9250000000001,-1.425,0.0,1.6500000000000001,ENE,38.75,2013,3,21,198.51190476190476,PM2.5
Aotizhongxin,2013-03-22,90.41666666666667,144.58333333333334,26.041666666666668,70.375,979.125,6.304166666666667,1011.5583333333334,-4.5375000000000005,0.0,2.5500000000000003,ENE,58.375,2013,3,22,119.27083333333334,PM2.5
Aotizhongxin,2013-03-23,52.75,88.66666666666667,29.708333333333332,57.625,1312.4583333333333,4.770833333333333,1008.5041666666666,-6.291666666666667,0.0,2.4125,NNE,66.25,2013,3,23,72.1875,PM2.5
Aotizhongxin,2013-03-24,18.541666666666668,37.625,12.208333333333334,35.5,1300.0,5.1125,1016.2583333333333,-12.9,0.0,2.6916666666666664,NNE,74.625,2013,3,24,44.375,NO2
Aotizhongxin,2013-03-25,102.25,143.33333333333334,52.5,87.25,1266.625,5.15,1015.3000000000001,-5.375,0.0,1.9166666666666667,SSW,60.503475,2013,3,25,134.0625,PM2.5
Aotizhongxin,2013-03-26,187.45833333333334,251.33333333333334,75.08333333333333,106.29166666666667,1741.2708333333333,6.8,1007.5666666666666,-0.7958333333333334,0.0,1.6624999999999999,SSW,47.0,2013,3,26,237.45833333333334,PM2.5
Aotizhongxin,2013-03-27,91.625,122.91666666666667,23.5625,42.958333333333336,849.9166666666666,10.879166666666668,1005.1583333333333,-4.570833333333334,0.0,2.845833333333333,NE,85.325675,2013,3,27,120.78125,PM2.5
Aotizhongxin,2013-03-28,28.333333333333332,54.791666666666664,12.666666666666666,39.833333333333336,595.7916666666666,7.879166666666666,1015.5666666666666,-10.241666666666667,0.0,2.225,NE,80.125,2013,3,28,52.39583333333333,PM10
Aotizhongxin,2013-03-29,87.875,140.41666666666666,47.166666666666664,88.5,1608.0625,6.208333333333333,1016.2791666666667,-5.3,0.0,1.570833333333333,ENE,42.5,2013,3,29,116.09375,PM2.5
Aotizhongxin,2013-03-30,79.54166666666667,111.16666666666667,62.083333333333336,68.20833333333333,1666.4583333333333,6.45,1016.8208333333333,-2.529166666666667,0.0,1.7375,SSW,67.625,2013,3,30,105.67708333333334,PM2.5
Aotizhongxin,2013-03-31,174.25,194.0,14.625,72.66666666666667,1333.0,5.570833333333333,1013.1166666666667,2.475,0.0,1.4958333333333333,N,37.75,2013,3,31,224.25,PM2.5
Aotizhongxin,2013-04-01,94.91666666666667,112.58333333333333,17.125,39.083333333333336,1208.1666666666667,10.458333333333334,1011.7041666666668,-4.6875,0.0,3.0708333333333333,N,90.625,2013,4,1,124.89583333333334,PM2.5
Aotizhongxin,2013-04-02,99.58333333333333,140.54166666666666,40.0,68.95833333333333,1316.5416666666667,10.0375,1011.4083333333333,-1.4958333333333333,0.0,1.9166666666666667,SW,104.25,2013,4,2,130.72916666666666,PM2.5
Aotizhongxin,2013-04-03,124.16666666666667,204.58333333333334,50.75,87.70833333333333,1454.0416666666667,11.916666666666666,1006.7541666666666,0.029166666666666664,0.0,1.8291666666666666,SW,96.0,2013,4,3,163.0952380952381,PM2.5
