station,AQI_2013,AQI_2017,delta_AQI,pct_change,lat,lon
Changping,114.14338413857145,107.93495523713517,-6.208428901436278,-5.439149144114363,40.217,116.231
Dingling,102.85001236538156,97.82341709869432,-5.026595266687238,-4.887306429123141,40.292,116.22
Huairou,107.64795994767908,103.92293563398226,-3.725024313696821,-3.4603761330055125,40.357,116.628
Wanliu,131.36951976964204,130.16288265306122,-1.206637116580822,-0.9185061486840128,39.987,116.306
Dongsi,129.95703092930847,135.67246338051348,5.715432451205004,4.397940157861852,39.929,116.417
Tiantan,126.16160180616548,132.7261460733487,6.564544267183223,5.203282277018788,39.886,116.407
Aotizhongxin,122.50640606306006,130.8321983948377,8.325792331777635,6.796209765138274,39.982,116.397
Guanyuan,123.44048859099016,132.42166001798228,8.98117142699212,7.275709558109809,39.933,116.339
Nongzhanguan,124.78301608920296,134.85926399289554,10.076247903692575,8.075015510515808,39.937,116.461
Wanshouxigong,125.35550923467437,139.21099741812048,13.855488183446113,11.052955125815538,39.878,116.352
Gucheng,121.8323734596195,135.62391461624972,13.791541156630217,11.320095607594254,39.914,116.184
Shunyi,113.83664679248541,127.42390552995391,13.587258737468503,11.935751025974023,40.127,116.655
