station,date,year,month,day,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,AQI,AQI_parameter,season
Aotizhongxin,2013-03-01,2013,3,1,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,74.5,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,37.25,O3,Spring
Aotizhongxin,2013-03-02,2013,3,2,30.75,42.083333333333336,36.625,66.66666666666667,824.9166666666666,52.625,0.6166666666666667,1026.8500000000001,-15.9375,0.0,1.4791666666666667,83.33333333333334,NO2,Spring
Aotizhongxin,2013-03-03,2013,3,3,76.91666666666667,120.54166666666667,61.291666666666664,81.0,1620.625,50.625,5.566666666666666,1014.6083333333332,-12.316666666666668,0.0,1.6583333333333332,102.39583333333334,PM2.5,Spring
Aotizhongxin,2013-03-04,2013,3,4,22.708333333333332,44.583333333333336,22.854166666666668,46.1875,606.25,77.25,9.9625,1017.65,-11.683333333333332,0.0,2.4041666666666663,57.734375,NO2,Spring
Aotizhongxin,2013-03-05,2013,3,5,148.875,183.79166666666666,93.875,132.83333333333334,2357.9583333333335,84.0,6.291666666666667,1010.9,-7.5249999999999995,0.0,1.1291666666666667,198.39285714285714,PM2.5,Spring
Aotizhongxin,2013-03-06,2013,3,6,223.25,265.1666666666667,116.2367,142.05938333333333,3085.0833333333335,40.5,7.183333333333334,1007.4833333333332,-4.216666666666667,0.0,1.4833333333333334,273.25,PM2.5,Spring
Aotizhongxin,2013-03-07,2013,3,7,263.375,316.0833333333333,97.54166666666667,147.75,3632.875,74.25,9.2875,1002.3208333333333,-2.0333333333333337,0.0,1.5583333333333333,316.05,PM2.5,Spring
Aotizhongxin,2013-03-08,2013,3,8,221.45833333333334,297.9583333333333,69.0604,120.0927875,2689.2083333333335,84.0,9.612499999999999,999.475,-1.1500000000000001,0.0,1.6375,271.45833333333337,PM2.5,Spring
Aotizhongxin,2013-03-09,2013,3,9,62.041666666666664,227.60416666666666,33.333333333333336,45.0,1178.9583333333333,81.5,6.983333333333333,1004.3916666666668,-10.1625,0.0,3.391666666666667,138.80208333333331,PM10,Spring
Aotizhongxin,2013-03-10,2013,3,10,34.291666666666664,68.91666666666667,22.916666666666668,49.666666666666664,708.3333333333334,84.0,5.2625,1020.4916666666667,-12.85,0.0,2.441666666666667,62.08333333333333,NO2,Spring
Aotizhongxin,2013-03-11,2013,3,11,123.79166666666667,178.29166666666666,86.875,90.66666666666667,1670.75,84.0,5.5375000000000005,1013.6625,-6.620833333333334,0.0,1.5666666666666667,162.55952380952382,PM2.5,Spring
Aotizhongxin,2013-03-12,2013,3,12,122.79166666666667,117.16666666666667,27.5,72.875,1635.2916666666667,54.125,4.6000000000000005,1008.8083333333334,1.3499999999999999,0.12083333333333333,1.0833333333333333,161.13095238095238,PM2.5,Spring
