date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,month,season
2013-03-01,7.326388888888889,12.203125,9.182291666666666,18.824652777777775,404.8611111111111,78.77083333333333,1.1739583333333334,1026.5697916666666,-20.14861111111111,0.0,2.9177083333333336,3,Spring
2013-03-02,31.475694444444443,40.50694444444444,31.757877777777775,56.303762847222224,939.7152777777778,59.322916666666664,0.2604166666666667,1026.5527777777777,-16.271875,0.0,1.145138888888889,3,Spring
2013-03-03,79.29166666666667,111.10416666666667,49.286458333333336,75.66145833333333,1771.142361111111,51.270833333333336,5.257291666666666,1014.2152777777778,-12.325347222222222,0.0,1.4631944444444445,3,Spring
2013-03-04,21.768568840579707,40.359375,18.818691666666666,40.877150694444445,726.3402777777778,79.59375,9.610763888888888,1017.2631944444446,-12.77326388888889,0.0,2.2270833333333333,3,Spring
2013-03-05,125.35295893719807,159.23611111111111,70.75694444444444,103.33767361111113,2021.4340277777776,90.66666666666667,6.6305555555555555,1010.5513888888889,-7.9163194444444445,0.0,0.9920138888888889,3,Spring
2013-03-06,203.78819444444443,231.38888888888889,100.43913611111111,128.38768645833332,2820.671875,61.697916666666664,7.293055555555555,1007.1465277777778,-4.805208333333334,0.0,1.0725694444444445,3,Spring
2013-03-07,241.02083333333334,279.43402777777777,83.67534722222221,140.2777777777778,3762.1597222222226,81.72916666666667,9.114236111111111,1001.9756944444443,-2.6329861111111112,0.0,1.2364583333333332,3,Spring
2013-03-08,201.43229166666666,247.27083333333334,59.80470555555556,113.38978263888889,3049.585069444444,99.58333333333333,10.046875,999.1065972222223,-2.046527777777778,0.0,1.809375,3,Spring
2013-03-09,60.32228535353536,239.1407828282828,30.452109057971015,44.1741681763285,1144.7490942028985,95.20833333333333,7.0718749999999995,1004.0555555555555,-11.176041666666668,0.0,3.5586805555555556,3,Spring
2013-03-10,37.00583964646464,65.4894255050505,22.268115942028984,47.0655193236715,769.525211352657,91.0,5.686458333333333,1020.1572916666668,-14.454513888888888,0.0,2.254861111111111,3,Spring
2013-03-11,122.84375,160.10763888888889,84.35763888888889,83.01388888888889,1622.5208333333333,89.48958333333333,5.981944444444444,1013.365625,-7.462847222222222,0.0,1.4118055555555555,3,Spring
2013-03-12,126.2951388888889,123.78472222222221,30.597222222222218,80.51736111111111,1758.9739583333333,57.375,4.9586805555555555,1008.567361111111,0.6204861111111111,0.14895833333333328,1.1847222222222222,3,Spring
2013-03-13,17.20138888888889,21.277777777777775,13.243055555555555,34.5625,506.7673611111111,83.41666666666667,4.431597222222222,1022.3104166666667,-11.578125,0.0,2.1600694444444444,3,Spring
2013-03-14,96.9236111111111,106.80902777777777,50.15277777777778,72.97916666666667,1430.0347222222224,83.5,3.6746527777777778,1021.1732638888889,-4.409375,0.0,1.7319444444444443,3,Spring
